2025-01-05 13:36:53,878 - INFO - Starting evaluation with: n_estimators=10, learning_rate=0.05, max_depth=9, lambda_l1=0.001, lambda_l2=0.0202025-01-05 13:37:57,263 - INFO - Completed: n_estimators=10, learning_rate=0.05, max_depth=9, lambda_l1=0.0, lambda_l2=0.001, train_acc=0.2544, val_acc=0.2725, training_time=63.46s
2025-01-05 13:37:57,267 - INFO - Starting evaluation with: n_estimators=10, learning_rate=0.1, max_depth=9, lambda_l1=0.01, lambda_l2=0.22025-01-05 13:39:01,633 - INFO - Completed: n_estimators=10, learning_rate=0.1, max_depth=9, lambda_l1=0.01, lambda_l2=0.001, train_acc=0.4994, val_acc=0.4625, training_time=64.61s
2025-01-05 13:39:01,637 - INFO - Starting evaluation with: n_estimators=20, learning_rate=0.05, max_depth=9, lambda_l1=0.01, lambda_l2=02025-22025-01-05 13:41:11,340 - INFO - Completed: n_estimators=20, learning_rate=0.05, max_depth=9, lambda_l1=0.01, lambda_l2=0.0, train_acc=0.4988, val_acc=0.4600, training_time=130.14s
2025-01-05 13:41:11,344 - INFO - Starting evaluation with: n_estimators=20, learning_rate=0.1, max_depth=9, lambda_l1=0.01, lambda_l2=2025-022025-01-052025-01-05 13:43:25,343 - INFO - Completed: n_estimators=20, learning_rate=0.1, max_depth=9, lambda_l1=0.001, lambda_l2=0.01, train_acc=1.0000, val_acc=0.8250, training_time=134.72s
2025-01-05 13:43:25,346 - INFO - Starting evaluation with: n_estimators=50, learning_rate=0.05, max_depth=9, lambda_l1=0.22025-020252025-01-05 13:48:45,981 - INFO - Completed: n_estimators=50, learning_rate=0.05, max_depth=9, lambda_l1=0.01, lambda_l2=0.001, train_acc=1.0000, val_acc=0.8300, training_time=320.63s
2025-01-05 13:48:45,988 - INFO - Starting evaluation with: n_estimators=50, learning_rate=0.1, max_depth=9, lambda_l1=0.01, 2022025-02025-01-05 13:53:47,554 - INFO - Completed: n_estimators=50, learning_rate=0.1, max_depth=9, lambda_l1=0.01, lambda_l2=0.0, train_acc=1.0000, val_acc=0.8225, training_time=302.65s
01.48s
=302.11s
_time=56.83s
2025-01-05 13:37:50,743 - INFO - Task 8/108 completed with: n_estimators=10, learning_rate=0.05, max_depth=7, lambda_l1=0.001, lambda_l2=0.0, train_acc=0.2600, val_acc=0.2850, start_time=2025-01-05 13:36:53, end_time=2025-01-05 13:37:50, training_time=57.00s
2025-01-05 13:38:47,524 - INFO - Task 19/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=7, lambda_l1=0.0, lambda_l2=0.001, train_acc=0.4950, val_acc=0.4775, start_time=2025-01-05 13:37:49, end_time=2025-01-05 13:38:47, training_time=57.97s
2025-01-05 13:38:47,652 - INFO - Task 20/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=7, lambda_l1=0.0, lambda_l2=0.01, train_acc=0.4944, val_acc=0.4750, start_time=2025-01-05 13:37:49, end_time=2025-01-05 13:38:47, training_time=57.64s
2025-01-05 13:38:47,961 - INFO - Task 21/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=7, lambda_l1=0.0, lambda_l2=0.0, train_acc=0.4950, val_acc=0.4800, start_time=2025-01-05 13:37:49, end_time=2025-01-05 13:38:47, training_time=58.75s
2025-01-05 13:38:48,269 - INFO - Task 22/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=7, lambda_l1=0.001, lambda_l2=0.001, train_acc=0.4950, val_acc=0.4775, start_time=2025-01-05 13:37:50, end_time=2025-01-05 13:38:48, training_time=57.80s
2025-01-05 13:38:48,489 - INFO - Task 23/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=7, lambda_l1=0.001, lambda_l2=0.0, train_acc=0.4950, val_acc=0.4775, start_time=2025-01-05 13:37:50, end_time=2025-01-05 13:38:48, training_time=58.11s
2025-01-05 13:38:48,546 - INFO - Task 24/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=7, lambda_l1=0.01, lambda_l2=0.0, train_acc=0.4950, val_acc=0.4775, start_time=2025-01-05 13:37:50, end_time=2025-01-05 13:38:48, training_time=57.91s
2025-01-05 13:38:48,763 - INFO - Task 25/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=7, lambda_l1=0.001, lambda_l2=0.01, train_acc=0.4944, val_acc=0.4750, start_time=2025-01-05 13:37:50, end_time=2025-01-05 13:38:48, training_time=58.21s
2025-01-05 13:38:48,937 - INFO - Task 26/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=7, lambda_l1=0.01, lambda_l2=0.01, train_acc=0.4938, val_acc=0.4725, start_time=2025-01-05 13:37:50, end_time=2025-01-05 13:38:48, training_time=58.15s
2025-01-05 13:38:49,519 - INFO - Task 27/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=7, lambda_l1=0.01, lambda_l2=0.001, train_acc=0.4950, val_acc=0.4750, start_time=2025-01-05 13:37:50, end_time=2025-01-05 13:38:49, training_time=58.74s
2025-01-05 13:38:59,284 - INFO - Task 28/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=9, lambda_l1=0.001, lambda_l2=0.001, train_acc=0.5000, val_acc=0.4625, start_time=2025-01-05 13:37:56, end_time=2025-01-05 13:38:59, training_time=62.87s
2025-01-05 13:38:59,307 - INFO - Task 29/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=9, lambda_l1=0.0, lambda_l2=0.001, train_acc=0.5000, val_acc=0.4625, start_time=2025-01-05 13:37:55, end_time=2025-01-05 13:38:59, training_time=63.61s
2025-01-05 13:38:59,552 - INFO - Task 30/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=9, lambda_l1=0.0, lambda_l2=0.0, train_acc=0.5000, val_acc=0.4625, start_time=2025-01-05 13:37:55, end_time=2025-01-05 13:38:59, training_time=64.23s
2025-01-05 13:39:00,068 - INFO - Task 31/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=9, lambda_l1=0.001, lambda_l2=0.0, train_acc=0.5000, val_acc=0.4625, start_time=2025-01-05 13:37:56, end_time=2025-01-05 13:39:00, training_time=63.65s
2025-01-05 13:39:00,418 - INFO - Task 32/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=9, lambda_l1=0.0, lambda_l2=0.01, train_acc=0.4994, val_acc=0.4625, start_time=2025-01-05 13:37:56, end_time=2025-01-05 13:39:00, training_time=64.14s
2025-01-05 13:39:00,551 - INFO - Task 33/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=9, lambda_l1=0.001, lambda_l2=0.01, train_acc=0.4994, val_acc=0.4625, start_time=2025-01-05 13:37:56, end_time=2025-01-05 13:39:00, training_time=64.04s
2025-01-05 13:39:01,120 - INFO - Task 34/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=9, lambda_l1=0.01, lambda_l2=0.01, train_acc=0.4994, val_acc=0.4625, start_time=2025-01-05 13:37:57, end_time=2025-01-05 13:39:01, training_time=63.82s
2025-01-05 13:39:01,211 - INFO - Task 35/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=9, lambda_l1=0.01, lambda_l2=0.0, train_acc=0.4994, val_acc=0.4625, start_time=2025-01-05 13:37:56, end_time=2025-01-05 13:39:01, training_time=64.23s
2025-01-05 13:39:01,636 - INFO - Task 36/108 completed with: n_estimators=10, learning_rate=0.1, max_depth=9, lambda_l1=0.01, lambda_l2=0.001, train_acc=0.4994, val_acc=0.4625, start_time=2025-01-05 13:37:56, end_time=2025-01-05 13:39:01, training_time=64.61s
2025-01-05 13:40:45,234 - INFO - Task 37/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=7, lambda_l1=0.0, lambda_l2=0.0, train_acc=0.4950, val_acc=0.4725, start_time=2025-01-05 13:38:47, end_time=2025-01-05 13:40:45, training_time=117.64s
2025-01-05 13:40:45,963 - INFO - Task 38/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=7, lambda_l1=0.0, lambda_l2=0.01, train_acc=0.4950, val_acc=0.4700, start_time=2025-01-05 13:38:47, end_time=2025-01-05 13:40:45, training_time=117.94s
2025-01-05 13:40:46,214 - INFO - Task 39/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=7, lambda_l1=0.0, lambda_l2=0.001, train_acc=0.4950, val_acc=0.4725, start_time=2025-01-05 13:38:47, end_time=2025-01-05 13:40:46, training_time=118.49s
2025-01-05 13:40:47,217 - INFO - Task 40/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=7, lambda_l1=0.01, lambda_l2=0.001, train_acc=0.4950, val_acc=0.4725, start_time=2025-01-05 13:38:48, end_time=2025-01-05 13:40:47, training_time=118.21s
2025-01-05 13:40:47,432 - INFO - Task 41/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=7, lambda_l1=0.001, lambda_l2=0.01, train_acc=0.4950, val_acc=0.4700, start_time=2025-01-05 13:38:48, end_time=2025-01-05 13:40:47, training_time=118.82s
2025-01-05 13:40:47,437 - INFO - Task 42/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=7, lambda_l1=0.01, lambda_l2=0.0, train_acc=0.4950, val_acc=0.4725, start_time=2025-01-05 13:38:48, end_time=2025-01-05 13:40:47, training_time=118.60s
2025-01-05 13:40:47,442 - INFO - Task 43/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=7, lambda_l1=0.001, lambda_l2=0.001, train_acc=0.4950, val_acc=0.4725, start_time=2025-01-05 13:38:48, end_time=2025-01-05 13:40:47, training_time=118.88s
2025-01-05 13:40:47,472 - INFO - Task 44/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=7, lambda_l1=0.001, lambda_l2=0.0, train_acc=0.4950, val_acc=0.4725, start_time=2025-01-05 13:38:48, end_time=2025-01-05 13:40:47, training_time=119.12s
2025-01-05 13:40:48,313 - INFO - Task 45/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=7, lambda_l1=0.01, lambda_l2=0.01, train_acc=0.4944, val_acc=0.4625, start_time=2025-01-05 13:38:49, end_time=2025-01-05 13:40:48, training_time=118.72s
2025-01-05 13:41:08,310 - INFO - Task 46/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=9, lambda_l1=0.0, lambda_l2=0.0, train_acc=0.4994, val_acc=0.4650, start_time=2025-01-05 13:38:59, end_time=2025-01-05 13:41:08, training_time=128.95s
2025-01-05 13:41:09,280 - INFO - Task 47/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=9, lambda_l1=0.0, lambda_l2=0.01, train_acc=0.4988, val_acc=0.4600, start_time=2025-01-05 13:38:59, end_time=2025-01-05 13:41:09, training_time=129.65s
2025-01-05 13:41:09,404 - INFO - Task 48/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=9, lambda_l1=0.0, lambda_l2=0.001, train_acc=0.4994, val_acc=0.4650, start_time=2025-01-05 13:38:59, end_time=2025-01-05 13:41:09, training_time=130.02s
2025-01-05 13:41:09,891 - INFO - Task 49/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=9, lambda_l1=0.001, lambda_l2=0.0, train_acc=0.4994, val_acc=0.4650, start_time=2025-01-05 13:39:00, end_time=2025-01-05 13:41:09, training_time=129.75s
2025-01-05 13:41:10,216 - INFO - Task 50/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=9, lambda_l1=0.001, lambda_l2=0.001, train_acc=0.4994, val_acc=0.4650, start_time=2025-01-05 13:39:00, end_time=2025-01-05 13:41:10, training_time=129.72s
2025-01-05 13:41:10,550 - INFO - Task 51/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=9, lambda_l1=0.001, lambda_l2=0.01, train_acc=0.4988, val_acc=0.4600, start_time=2025-01-05 13:39:00, end_time=2025-01-05 13:41:10, training_time=129.93s
2025-01-05 13:41:10,936 - INFO - Task 52/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=9, lambda_l1=0.01, lambda_l2=0.001, train_acc=0.4988, val_acc=0.4600, start_time=2025-01-05 13:39:01, end_time=2025-01-05 13:41:10, training_time=129.66s
2025-01-05 13:41:11,012 - INFO - Task 53/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=9, lambda_l1=0.01, lambda_l2=0.01, train_acc=0.4988, val_acc=0.4600, start_time=2025-01-05 13:39:01, end_time=2025-01-05 13:41:10, training_time=129.30s
2025-01-05 13:41:11,341 - INFO - Task 54/108 completed with: n_estimators=20, learning_rate=0.05, max_depth=9, lambda_l1=0.01, lambda_l2=0.0, train_acc=0.4988, val_acc=0.4600, start_time=2025-01-05 13:39:01, end_time=2025-01-05 13:41:11, training_time=130.14s
2025-01-05 13:42:46,989 - INFO - Task 55/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=7, lambda_l1=0.0, lambda_l2=0.0, train_acc=0.9888, val_acc=0.8400, start_time=2025-01-05 13:40:45, end_time=2025-01-05 13:42:46, training_time=121.69s
2025-01-05 13:42:48,080 - INFO - Task 56/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=7, lambda_l1=0.0, lambda_l2=0.001, train_acc=0.9888, val_acc=0.8400, start_time=2025-01-05 13:40:45, end_time=2025-01-05 13:42:48, training_time=122.05s
2025-01-05 13:42:48,361 - INFO - Task 57/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=7, lambda_l1=0.0, lambda_l2=0.01, train_acc=0.9856, val_acc=0.8425, start_time=2025-01-05 13:40:46, end_time=2025-01-05 13:42:48, training_time=122.08s
2025-01-05 13:42:48,368 - INFO - Task 58/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=7, lambda_l1=0.001, lambda_l2=0.01, train_acc=0.9856, val_acc=0.8400, start_time=2025-01-05 13:40:47, end_time=2025-01-05 13:42:48, training_time=120.86s
2025-01-05 13:42:49,620 - INFO - Task 59/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=7, lambda_l1=0.001, lambda_l2=0.0, train_acc=0.9888, val_acc=0.8425, start_time=2025-01-05 13:40:47, end_time=2025-01-05 13:42:49, training_time=122.33s
2025-01-05 13:42:49,770 - INFO - Task 60/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=7, lambda_l1=0.01, lambda_l2=0.01, train_acc=0.9844, val_acc=0.8375, start_time=2025-01-05 13:40:48, end_time=2025-01-05 13:42:49, training_time=121.38s
2025-01-05 13:42:49,775 - INFO - Task 61/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=7, lambda_l1=0.01, lambda_l2=0.001, train_acc=0.9869, val_acc=0.8375, start_time=2025-01-05 13:40:47, end_time=2025-01-05 13:42:49, training_time=122.23s
2025-01-05 13:42:50,081 - INFO - Task 62/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=7, lambda_l1=0.01, lambda_l2=0.0, train_acc=0.9875, val_acc=0.8400, start_time=2025-01-05 13:40:47, end_time=2025-01-05 13:42:50, training_time=122.57s
2025-01-05 13:42:50,616 - INFO - Task 63/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=7, lambda_l1=0.001, lambda_l2=0.001, train_acc=0.9888, val_acc=0.8400, start_time=2025-01-05 13:40:47, end_time=2025-01-05 13:42:50, training_time=123.11s
2025-01-05 13:43:22,049 - INFO - Task 64/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=9, lambda_l1=0.0, lambda_l2=0.0, train_acc=1.0000, val_acc=0.8250, start_time=2025-01-05 13:41:08, end_time=2025-01-05 13:43:21, training_time=133.66s
2025-01-05 13:43:22,514 - INFO - Task 65/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=9, lambda_l1=0.001, lambda_l2=0.0, train_acc=1.0000, val_acc=0.8275, start_time=2025-01-05 13:41:09, end_time=2025-01-05 13:43:22, training_time=132.54s
2025-01-05 13:43:22,871 - INFO - Task 66/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=9, lambda_l1=0.0, lambda_l2=0.001, train_acc=1.0000, val_acc=0.8225, start_time=2025-01-05 13:41:09, end_time=2025-01-05 13:43:22, training_time=133.52s
2025-01-05 13:43:23,247 - INFO - Task 67/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=9, lambda_l1=0.0, lambda_l2=0.01, train_acc=1.0000, val_acc=0.8275, start_time=2025-01-05 13:41:09, end_time=2025-01-05 13:43:23, training_time=133.77s
2025-01-05 13:43:23,845 - INFO - Task 68/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=9, lambda_l1=0.001, lambda_l2=0.001, train_acc=1.0000, val_acc=0.8225, start_time=2025-01-05 13:41:10, end_time=2025-01-05 13:43:23, training_time=133.55s
2025-01-05 13:43:24,356 - INFO - Task 69/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=9, lambda_l1=0.01, lambda_l2=0.0, train_acc=1.0000, val_acc=0.8275, start_time=2025-01-05 13:41:10, end_time=2025-01-05 13:43:24, training_time=133.34s
2025-01-05 13:43:24,902 - INFO - Task 70/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=9, lambda_l1=0.01, lambda_l2=0.01, train_acc=1.0000, val_acc=0.8275, start_time=2025-01-05 13:41:11, end_time=2025-01-05 13:43:24, training_time=133.49s
2025-01-05 13:43:25,161 - INFO - Task 71/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=9, lambda_l1=0.01, lambda_l2=0.001, train_acc=1.0000, val_acc=0.8250, start_time=2025-01-05 13:41:11, end_time=2025-01-05 13:43:25, training_time=134.07s
2025-01-05 13:43:25,344 - INFO - Task 72/108 completed with: n_estimators=20, learning_rate=0.1, max_depth=9, lambda_l1=0.001, lambda_l2=0.01, train_acc=1.0000, val_acc=0.8250, start_time=2025-01-05 13:41:10, end_time=2025-01-05 13:43:25, training_time=134.72s
2025-01-05 13:47:42,293 - INFO - Task 73/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=7, lambda_l1=0.0, lambda_l2=0.0, train_acc=1.0000, val_acc=0.8525, start_time=2025-01-05 13:42:46, end_time=2025-01-05 13:47:42, training_time=295.13s
2025-01-05 13:47:42,758 - INFO - Task 74/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=7, lambda_l1=0.01, lambda_l2=0.001, train_acc=0.9994, val_acc=0.8600, start_time=2025-01-05 13:42:50, end_time=2025-01-05 13:47:42, training_time=292.50s
2025-01-05 13:47:42,966 - INFO - Task 75/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=7, lambda_l1=0.0, lambda_l2=0.01, train_acc=0.9994, val_acc=0.8450, start_time=2025-01-05 13:42:48, end_time=2025-01-05 13:47:42, training_time=294.44s
2025-01-05 13:47:44,667 - INFO - Task 76/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=7, lambda_l1=0.0, lambda_l2=0.001, train_acc=1.0000, val_acc=0.8450, start_time=2025-01-05 13:42:48, end_time=2025-01-05 13:47:44, training_time=296.42s
2025-01-05 13:47:45,268 - INFO - Task 77/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=7, lambda_l1=0.001, lambda_l2=0.0, train_acc=1.0000, val_acc=0.8450, start_time=2025-01-05 13:42:48, end_time=2025-01-05 13:47:45, training_time=296.73s
2025-01-05 13:47:45,612 - INFO - Task 78/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=7, lambda_l1=0.01, lambda_l2=0.01, train_acc=0.9988, val_acc=0.8500, start_time=2025-01-05 13:42:50, end_time=2025-01-05 13:47:45, training_time=294.85s
2025-01-05 13:47:45,999 - INFO - Task 79/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=7, lambda_l1=0.01, lambda_l2=0.0, train_acc=0.9994, val_acc=0.8450, start_time=2025-01-05 13:42:49, end_time=2025-01-05 13:47:45, training_time=296.05s
2025-01-05 13:47:46,077 - INFO - Task 80/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=7, lambda_l1=0.001, lambda_l2=0.01, train_acc=0.9994, val_acc=0.8450, start_time=2025-01-05 13:42:49, end_time=2025-01-05 13:47:45, training_time=296.14s
2025-01-05 13:47:46,286 - INFO - Task 81/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=7, lambda_l1=0.001, lambda_l2=0.001, train_acc=1.0000, val_acc=0.8450, start_time=2025-01-05 13:42:49, end_time=2025-01-05 13:47:46, training_time=296.50s
2025-01-05 13:48:38,306 - INFO - Task 82/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=9, lambda_l1=0.0, lambda_l2=0.001, train_acc=1.0000, val_acc=0.8250, start_time=2025-01-05 13:43:22, end_time=2025-01-05 13:48:38, training_time=315.60s
2025-01-05 13:48:40,441 - INFO - Task 83/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=9, lambda_l1=0.0, lambda_l2=0.0, train_acc=1.0000, val_acc=0.8300, start_time=2025-01-05 13:43:22, end_time=2025-01-05 13:48:40, training_time=318.21s
2025-01-05 13:48:43,180 - INFO - Task 84/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=9, lambda_l1=0.0, lambda_l2=0.01, train_acc=1.0000, val_acc=0.8300, start_time=2025-01-05 13:43:22, end_time=2025-01-05 13:48:42, training_time=320.12s
2025-01-05 13:48:43,577 - INFO - Task 85/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=9, lambda_l1=0.001, lambda_l2=0.001, train_acc=1.0000, val_acc=0.8350, start_time=2025-01-05 13:43:23, end_time=2025-01-05 13:48:43, training_time=319.56s
2025-01-05 13:48:43,738 - INFO - Task 86/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=9, lambda_l1=0.001, lambda_l2=0.0, train_acc=1.0000, val_acc=0.8275, start_time=2025-01-05 13:43:23, end_time=2025-01-05 13:48:43, training_time=320.30s
2025-01-05 13:48:43,787 - INFO - Task 87/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=9, lambda_l1=0.001, lambda_l2=0.01, train_acc=1.0000, val_acc=0.8375, start_time=2025-01-05 13:43:24, end_time=2025-01-05 13:48:43, training_time=319.25s
2025-01-05 13:48:44,823 - INFO - Task 88/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=9, lambda_l1=0.01, lambda_l2=0.0, train_acc=1.0000, val_acc=0.8250, start_time=2025-01-05 13:43:24, end_time=2025-01-05 13:48:44, training_time=319.74s
2025-01-05 13:48:45,066 - INFO - Task 89/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=9, lambda_l1=0.01, lambda_l2=0.01, train_acc=1.0000, val_acc=0.8325, start_time=2025-01-05 13:43:25, end_time=2025-01-05 13:48:44, training_time=319.54s
2025-01-05 13:48:45,984 - INFO - Task 90/108 completed with: n_estimators=50, learning_rate=0.05, max_depth=9, lambda_l1=0.01, lambda_l2=0.001, train_acc=1.0000, val_acc=0.8300, start_time=2025-01-05 13:43:25, end_time=2025-01-05 13:48:45, training_time=320.63s
