2025-01-05 11:17:14,805 - INFO - Using 16 workers for hyperparameter tuning
2025-01-05 11:17:14,902 - INFO - Total tasks to complete: 180
2025-01-05 11:17:34,356 - INFO - Task 1/180 completed with: n_estimators=10, max_depth=3, min_samples_split=2, min_samples_leaf=2, train_acc=0.7900, val_acc=0.7250, start_time=2025-01-05 11:17:15, end_time=2025-01-05 11:17:34, training_time=19.16s
2025-01-05 11:18:16,455 - INFO - Task 24/180 completed with: n_estimators=10, max_depth=7, min_samples_split=5, min_samples_leaf=1, train_acc=0.9669, val_acc=0.8650, start_time=2025-01-05 11:17:34, end_time=2025-01-05 11:18:16, training_time=41.50s
2025-01-05 11:18:16,502 - INFO - Task 25/180 completed with: n_estimators=10, max_depth=7, min_samples_split=5, min_samples_leaf=2, train_acc=0.9600, val_acc=0.8725, start_time=2025-01-05 11:17:35, end_time=2025-01-05 11:18:16, training_time=41.46s
2025-01-05 11:18:26,038 - INFO - Task 26/180 completed with: n_estimators=10, max_depth=7, min_samples_split=10, min_samples_leaf=4, train_acc=0.9500, val_acc=0.8775, start_time=2025-01-05 11:17:46, end_time=2025-01-05 11:18:25, training_time=39.53s
2025-01-05 11:18:26,579 - INFO - Task 27/180 completed with: n_estimators=10, max_depth=7, min_samples_split=10, min_samples_leaf=2, train_acc=0.9594, val_acc=0.8775, start_time=2025-01-05 11:17:46, end_time=2025-01-05 11:18:26, training_time=40.49s
2025-01-05 11:18:29,246 - INFO - Task 28/180 completed with: n_estimators=10, max_depth=None, min_samples_split=2, min_samples_leaf=4, train_acc=0.9575, val_acc=0.8825, start_time=2025-01-05 11:17:46, end_time=2025-01-05 11:18:29, training_time=42.56s
2025-01-05 11:18:33,169 - INFO - Task 29/180 completed with: n_estimators=10, max_depth=None, min_samples_split=5, min_samples_leaf=2, train_acc=0.9731, val_acc=0.8700, start_time=2025-01-05 11:17:46, end_time=2025-01-05 11:18:33, training_time=46.29s
2025-01-05 11:18:33,830 - INFO - Task 30/180 completed with: n_estimators=10, max_depth=None, min_samples_split=2, min_samples_leaf=2, train_acc=0.9731, val_acc=0.8700, start_time=2025-01-05 11:17:46, end_time=2025-01-05 11:18:33, training_time=47.24s
2025-01-05 11:18:36,063 - INFO - Task 31/180 completed with: n_estimators=10, max_depth=None, min_samples_split=2, min_samples_leaf=1, train_acc=0.9969, val_acc=0.8675, start_time=2025-01-05 11:17:46, end_time=2025-01-05 11:18:36, training_time=49.55s
2025-01-05 11:18:36,161 - INFO - Task 32/180 completed with: n_estimators=10, max_depth=None, min_samples_split=5, min_samples_leaf=1, train_acc=0.9925, val_acc=0.8750, start_time=2025-01-05 11:17:46, end_time=2025-01-05 11:18:36, training_time=49.27s
2025-01-05 11:18:47,890 - INFO - Task 33/180 completed with: n_estimators=10, max_depth=None, min_samples_split=5, min_samples_leaf=4, train_acc=0.9575, val_acc=0.8825, start_time=2025-01-05 11:18:05, end_time=2025-01-05 11:18:47, training_time=42.46s
2025-01-05 11:18:54,407 - INFO - Task 34/180 completed with: n_estimators=10, max_depth=None, min_samples_split=10, min_samples_leaf=1, train_acc=0.9838, val_acc=0.8725, start_time=2025-01-05 11:18:05, end_time=2025-01-05 11:18:54, training_time=48.47s
2025-01-05 11:18:54,921 - INFO - Task 35/180 completed with: n_estimators=20, max_depth=3, min_samples_split=2, min_samples_leaf=1, train_acc=0.7794, val_acc=0.7425, start_time=2025-01-05 11:18:15, end_time=2025-01-05 11:18:54, training_time=39.53s
2025-01-05 11:18:55,506 - INFO - Task 36/180 completed with: n_estimators=20, max_depth=3, min_samples_split=2, min_samples_leaf=2, train_acc=0.7794, val_acc=0.7425, start_time=2025-01-05 11:18:15, end_time=2025-01-05 11:18:55, training_time=40.06s
2025-01-05 11:18:55,778 - INFO - Task 37/180 completed with: n_estimators=20, max_depth=3, min_samples_split=5, min_samples_leaf=2, train_acc=0.7794, val_acc=0.7425, start_time=2025-01-05 11:18:16, end_time=2025-01-05 11:18:55, training_time=39.23s
2025-01-05 11:18:56,145 - INFO - Task 38/180 completed with: n_estimators=20, max_depth=3, min_samples_split=2, min_samples_leaf=4, train_acc=0.7794, val_acc=0.7425, start_time=2025-01-05 11:18:16, end_time=2025-01-05 11:18:56, training_time=39.96s
2025-01-05 11:18:56,181 - INFO - Task 39/180 completed with: n_estimators=20, max_depth=3, min_samples_split=5, min_samples_leaf=1, train_acc=0.7794, val_acc=0.7425, start_time=2025-01-05 11:18:16, end_time=2025-01-05 11:18:56, training_time=39.68s
2025-01-05 11:18:57,472 - INFO - Task 40/180 completed with: n_estimators=10, max_depth=None, min_samples_split=10, min_samples_leaf=4, train_acc=0.9569, val_acc=0.8825, start_time=2025-01-05 11:18:15, end_time=2025-01-05 11:18:57, training_time=42.40s
2025-01-05 11:19:02,454 - INFO - Task 41/180 completed with: n_estimators=10, max_depth=None, min_samples_split=10, min_samples_leaf=2, train_acc=0.9681, val_acc=0.8725, start_time=2025-01-05 11:18:14, end_time=2025-01-05 11:19:02, training_time=47.45s
2025-01-05 11:19:06,473 - INFO - Task 42/180 completed with: n_estimators=20, max_depth=3, min_samples_split=5, min_samples_leaf=4, train_acc=0.7794, val_acc=0.7425, start_time=2025-01-05 11:18:26, end_time=2025-01-05 11:19:06, training_time=40.39s
2025-01-05 11:19:06,881 - INFO - Task 43/180 completed with: n_estimators=20, max_depth=3, min_samples_split=10, min_samples_leaf=1, train_acc=0.7794, val_acc=0.7425, start_time=2025-01-05 11:18:26, end_time=2025-01-05 11:19:06, training_time=40.26s
2025-01-05 11:19:09,713 - INFO - Task 44/180 completed with: n_estimators=20, max_depth=3, min_samples_split=10, min_samples_leaf=2, train_acc=0.7794, val_acc=0.7425, start_time=2025-01-05 11:18:29, end_time=2025-01-05 11:19:09, training_time=40.42s
2025-01-05 11:19:13,101 - INFO - Task 45/180 completed with: n_estimators=20, max_depth=3, min_samples_split=10, min_samples_leaf=4, train_acc=0.7794, val_acc=0.7425, start_time=2025-01-05 11:18:33, end_time=2025-01-05 11:19:13, training_time=39.89s
2025-01-05 11:19:38,858 - INFO - Task 46/180 completed with: n_estimators=20, max_depth=5, min_samples_split=2, min_samples_leaf=1, train_acc=0.9031, val_acc=0.8300, start_time=2025-01-05 11:18:33, end_time=2025-01-05 11:19:38, training_time=64.97s
2025-01-05 11:19:40,718 - INFO - Task 47/180 completed with: n_estimators=20, max_depth=5, min_samples_split=2, min_samples_leaf=2, train_acc=0.9019, val_acc=0.8275, start_time=2025-01-05 11:18:36, end_time=2025-01-05 11:19:40, training_time=64.60s
2025-01-05 11:19:41,504 - INFO - Task 48/180 completed with: n_estimators=20, max_depth=5, min_samples_split=2, min_samples_leaf=4, train_acc=0.9012, val_acc=0.8300, start_time=2025-01-05 11:18:36, end_time=2025-01-05 11:19:41, training_time=65.28s
2025-01-05 11:19:53,528 - INFO - Task 49/180 completed with: n_estimators=20, max_depth=5, min_samples_split=5, min_samples_leaf=1, train_acc=0.9031, val_acc=0.8300, start_time=2025-01-05 11:18:47, end_time=2025-01-05 11:19:53, training_time=65.58s
2025-01-05 11:19:58,923 - INFO - Task 50/180 completed with: n_estimators=20, max_depth=5, min_samples_split=5, min_samples_leaf=2, train_acc=0.9019, val_acc=0.8275, start_time=2025-01-05 11:18:54, end_time=2025-01-05 11:19:58, training_time=64.46s
2025-01-05 11:19:59,162 - INFO - Task 51/180 completed with: n_estimators=20, max_depth=5, min_samples_split=5, min_samples_leaf=4, train_acc=0.9012, val_acc=0.8300, start_time=2025-01-05 11:18:54, end_time=2025-01-05 11:19:59, training_time=64.18s
2025-01-05 11:20:00,720 - INFO - Task 52/180 completed with: n_estimators=20, max_depth=5, min_samples_split=10, min_samples_leaf=1, train_acc=0.9031, val_acc=0.8300, start_time=2025-01-05 11:18:55, end_time=2025-01-05 11:20:00, training_time=65.16s
2025-01-05 11:20:00,995 - INFO - Task 53/180 completed with: n_estimators=20, max_depth=5, min_samples_split=10, min_samples_leaf=4, train_acc=0.9012, val_acc=0.8300, start_time=2025-01-05 11:18:56, end_time=2025-01-05 11:20:00, training_time=64.79s
2025-01-05 11:20:01,255 - INFO - Task 54/180 completed with: n_estimators=20, max_depth=5, min_samples_split=10, min_samples_leaf=2, train_acc=0.9025, val_acc=0.8275, start_time=2025-01-05 11:18:55, end_time=2025-01-05 11:20:01, training_time=65.42s
2025-01-05 11:20:20,794 - INFO - Task 55/180 completed with: n_estimators=20, max_depth=7, min_samples_split=2, min_samples_leaf=1, train_acc=0.9712, val_acc=0.8825, start_time=2025-01-05 11:18:56, end_time=2025-01-05 11:20:20, training_time=84.54s
2025-01-05 11:20:22,322 - INFO - Task 56/180 completed with: n_estimators=20, max_depth=7, min_samples_split=2, min_samples_leaf=2, train_acc=0.9656, val_acc=0.8950, start_time=2025-01-05 11:18:57, end_time=2025-01-05 11:20:22, training_time=84.77s
2025-01-05 11:20:23,723 - INFO - Task 57/180 completed with: n_estimators=20, max_depth=7, min_samples_split=2, min_samples_leaf=4, train_acc=0.9556, val_acc=0.8875, start_time=2025-01-05 11:19:02, end_time=2025-01-05 11:20:23, training_time=81.21s
2025-01-05 11:20:30,333 - INFO - Task 58/180 completed with: n_estimators=20, max_depth=7, min_samples_split=5, min_samples_leaf=2, train_acc=0.9656, val_acc=0.8950, start_time=2025-01-05 11:19:06, end_time=2025-01-05 11:20:30, training_time=83.38s
2025-01-05 11:20:30,965 - INFO - Task 59/180 completed with: n_estimators=20, max_depth=7, min_samples_split=5, min_samples_leaf=1, train_acc=0.9706, val_acc=0.8825, start_time=2025-01-05 11:19:06, end_time=2025-01-05 11:20:30, training_time=84.42s
2025-01-05 11:20:30,984 - INFO - Task 60/180 completed with: n_estimators=20, max_depth=7, min_samples_split=5, min_samples_leaf=4, train_acc=0.9556, val_acc=0.8875, start_time=2025-01-05 11:19:09, end_time=2025-01-05 11:20:30, training_time=81.20s
2025-01-05 11:20:37,334 - INFO - Task 61/180 completed with: n_estimators=20, max_depth=7, min_samples_split=10, min_samples_leaf=1, train_acc=0.9706, val_acc=0.8725, start_time=2025-01-05 11:19:13, end_time=2025-01-05 11:20:37, training_time=84.16s
2025-01-05 11:21:01,376 - INFO - Task 62/180 completed with: n_estimators=20, max_depth=7, min_samples_split=10, min_samples_leaf=4, train_acc=0.9556, val_acc=0.8850, start_time=2025-01-05 11:19:40, end_time=2025-01-05 11:21:01, training_time=80.59s
2025-01-05 11:21:02,461 - INFO - Task 63/180 completed with: n_estimators=20, max_depth=7, min_samples_split=10, min_samples_leaf=2, train_acc=0.9656, val_acc=0.8850, start_time=2025-01-05 11:19:38, end_time=2025-01-05 11:21:02, training_time=83.53s
2025-01-05 11:21:21,881 - INFO - Task 64/180 completed with: n_estimators=20, max_depth=None, min_samples_split=2, min_samples_leaf=1, train_acc=0.9994, val_acc=0.8750, start_time=2025-01-05 11:19:41, end_time=2025-01-05 11:21:21, training_time=100.29s
2025-01-05 11:21:24,070 - INFO - Task 65/180 completed with: n_estimators=20, max_depth=None, min_samples_split=2, min_samples_leaf=4, train_acc=0.9663, val_acc=0.8850, start_time=2025-01-05 11:19:58, end_time=2025-01-05 11:21:23, training_time=85.07s
2025-01-05 11:21:24,365 - INFO - Task 66/180 completed with: n_estimators=30, max_depth=3, min_samples_split=2, min_samples_leaf=1, train_acc=0.7781, val_acc=0.7350, start_time=2025-01-05 11:20:23, end_time=2025-01-05 11:21:24, training_time=60.57s
2025-01-05 11:21:26,649 - INFO - Task 67/180 completed with: n_estimators=20, max_depth=None, min_samples_split=5, min_samples_leaf=4, train_acc=0.9663, val_acc=0.8850, start_time=2025-01-05 11:20:00, end_time=2025-01-05 11:21:26, training_time=85.58s
2025-01-05 11:21:27,992 - INFO - Task 68/180 completed with: n_estimators=20, max_depth=None, min_samples_split=2, min_samples_leaf=2, train_acc=0.9819, val_acc=0.8825, start_time=2025-01-05 11:19:53, end_time=2025-01-05 11:21:27, training_time=94.41s
2025-01-05 11:21:30,256 - INFO - Task 69/180 completed with: n_estimators=30, max_depth=3, min_samples_split=2, min_samples_leaf=2, train_acc=0.7781, val_acc=0.7350, start_time=2025-01-05 11:20:30, end_time=2025-01-05 11:21:30, training_time=59.86s
2025-01-05 11:21:30,628 - INFO - Task 70/180 completed with: n_estimators=30, max_depth=3, min_samples_split=2, min_samples_leaf=4, train_acc=0.7781, val_acc=0.7350, start_time=2025-01-05 11:20:30, end_time=2025-01-05 11:21:30, training_time=59.60s
2025-01-05 11:21:31,855 - INFO - Task 71/180 completed with: n_estimators=30, max_depth=3, min_samples_split=5, min_samples_leaf=1, train_acc=0.7781, val_acc=0.7350, start_time=2025-01-05 11:20:30, end_time=2025-01-05 11:21:31, training_time=60.81s
2025-01-05 11:21:35,583 - INFO - Task 72/180 completed with: n_estimators=20, max_depth=None, min_samples_split=5, min_samples_leaf=2, train_acc=0.9819, val_acc=0.8825, start_time=2025-01-05 11:20:00, end_time=2025-01-05 11:21:35, training_time=94.79s
2025-01-05 11:21:37,849 - INFO - Task 73/180 completed with: n_estimators=30, max_depth=3, min_samples_split=5, min_samples_leaf=2, train_acc=0.7781, val_acc=0.7350, start_time=2025-01-05 11:20:37, end_time=2025-01-05 11:21:37, training_time=60.45s
2025-01-05 11:21:39,282 - INFO - Task 74/180 completed with: n_estimators=20, max_depth=None, min_samples_split=5, min_samples_leaf=1, train_acc=0.9975, val_acc=0.8700, start_time=2025-01-05 11:19:59, end_time=2025-01-05 11:21:39, training_time=100.06s
2025-01-05 11:21:39,741 - INFO - Task 75/180 completed with: n_estimators=20, max_depth=None, min_samples_split=10, min_samples_leaf=1, train_acc=0.9900, val_acc=0.8650, start_time=2025-01-05 11:20:01, end_time=2025-01-05 11:21:39, training_time=98.41s
2025-01-05 11:21:47,707 - INFO - Task 76/180 completed with: n_estimators=20, max_depth=None, min_samples_split=10, min_samples_leaf=4, train_acc=0.9656, val_acc=0.8800, start_time=2025-01-05 11:20:22, end_time=2025-01-05 11:21:47, training_time=85.32s
2025-01-05 11:21:57,427 - INFO - Task 77/180 completed with: n_estimators=20, max_depth=None, min_samples_split=10, min_samples_leaf=2, train_acc=0.9788, val_acc=0.8750, start_time=2025-01-05 11:20:20, end_time=2025-01-05 11:21:57, training_time=96.38s
2025-01-05 11:22:10,190 - INFO - Task 78/180 completed with: n_estimators=30, max_depth=3, min_samples_split=5, min_samples_leaf=4, train_acc=0.7781, val_acc=0.7350, start_time=2025-01-05 11:21:01, end_time=2025-01-05 11:22:10, training_time=68.75s
2025-01-05 11:22:11,283 - INFO - Task 79/180 completed with: n_estimators=30, max_depth=3, min_samples_split=10, min_samples_leaf=1, train_acc=0.7781, val_acc=0.7350, start_time=2025-01-05 11:21:02, end_time=2025-01-05 11:22:11, training_time=68.75s
2025-01-05 11:22:30,895 - INFO - Task 80/180 completed with: n_estimators=30, max_depth=3, min_samples_split=10, min_samples_leaf=2, train_acc=0.7781, val_acc=0.7350, start_time=2025-01-05 11:21:21, end_time=2025-01-05 11:22:30, training_time=68.95s
2025-01-05 11:22:33,259 - INFO - Task 81/180 completed with: n_estimators=30, max_depth=3, min_samples_split=10, min_samples_leaf=4, train_acc=0.7781, val_acc=0.7350, start_time=2025-01-05 11:21:24, end_time=2025-01-05 11:22:33, training_time=69.12s
2025-01-05 11:23:10,232 - INFO - Task 82/180 completed with: n_estimators=30, max_depth=5, min_samples_split=2, min_samples_leaf=1, train_acc=0.9081, val_acc=0.8225, start_time=2025-01-05 11:21:24, end_time=2025-01-05 11:23:10, training_time=105.78s
2025-01-05 11:23:11,975 - INFO - Task 83/180 completed with: n_estimators=30, max_depth=5, min_samples_split=2, min_samples_leaf=2, train_acc=0.9069, val_acc=0.8250, start_time=2025-01-05 11:21:26, end_time=2025-01-05 11:23:11, training_time=105.23s
2025-01-05 11:23:13,327 - INFO - Task 84/180 completed with: n_estimators=30, max_depth=5, min_samples_split=2, min_samples_leaf=4, train_acc=0.9062, val_acc=0.8300, start_time=2025-01-05 11:21:27, end_time=2025-01-05 11:23:13, training_time=105.25s
2025-01-05 11:23:14,571 - INFO - Task 85/180 completed with: n_estimators=30, max_depth=5, min_samples_split=5, min_samples_leaf=1, train_acc=0.9081, val_acc=0.8250, start_time=2025-01-05 11:21:30, end_time=2025-01-05 11:23:14, training_time=104.23s
2025-01-05 11:23:14,843 - INFO - Task 86/180 completed with: n_estimators=30, max_depth=5, min_samples_split=5, min_samples_leaf=2, train_acc=0.9069, val_acc=0.8250, start_time=2025-01-05 11:21:30, end_time=2025-01-05 11:23:14, training_time=104.14s
2025-01-05 11:23:16,606 - INFO - Task 87/180 completed with: n_estimators=30, max_depth=5, min_samples_split=5, min_samples_leaf=4, train_acc=0.9062, val_acc=0.8300, start_time=2025-01-05 11:21:31, end_time=2025-01-05 11:23:16, training_time=104.68s
2025-01-05 11:23:20,351 - INFO - Task 88/180 completed with: n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=1, train_acc=0.9075, val_acc=0.8250, start_time=2025-01-05 11:21:35, end_time=2025-01-05 11:23:20, training_time=104.69s
2025-01-05 11:23:21,949 - INFO - Task 89/180 completed with: n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=2, train_acc=0.9069, val_acc=0.8250, start_time=2025-01-05 11:21:37, end_time=2025-01-05 11:23:21, training_time=104.01s
2025-01-05 11:23:24,275 - INFO - Task 90/180 completed with: n_estimators=30, max_depth=5, min_samples_split=10, min_samples_leaf=4, train_acc=0.9062, val_acc=0.8300, start_time=2025-01-05 11:21:39, end_time=2025-01-05 11:23:24, training_time=104.90s
2025-01-05 11:23:55,622 - INFO - Task 91/180 completed with: n_estimators=30, max_depth=7, min_samples_split=2, min_samples_leaf=1, train_acc=0.9775, val_acc=0.8775, start_time=2025-01-05 11:21:39, end_time=2025-01-05 11:23:55, training_time=135.76s
2025-01-05 11:24:01,928 - INFO - Task 92/180 completed with: n_estimators=30, max_depth=7, min_samples_split=2, min_samples_leaf=2, train_acc=0.9719, val_acc=0.8800, start_time=2025-01-05 11:21:47, end_time=2025-01-05 11:24:01, training_time=134.10s
2025-01-05 11:24:05,267 - INFO - Task 93/180 completed with: n_estimators=30, max_depth=7, min_samples_split=2, min_samples_leaf=4, train_acc=0.9600, val_acc=0.8800, start_time=2025-01-05 11:21:57, end_time=2025-01-05 11:24:05, training_time=127.74s
2025-01-05 11:24:17,757 - INFO - Task 94/180 completed with: n_estimators=30, max_depth=7, min_samples_split=5, min_samples_leaf=1, train_acc=0.9756, val_acc=0.8775, start_time=2025-01-05 11:22:10, end_time=2025-01-05 11:24:17, training_time=127.45s
2025-01-05 11:24:18,410 - INFO - Task 95/180 completed with: n_estimators=30, max_depth=7, min_samples_split=5, min_samples_leaf=2, train_acc=0.9712, val_acc=0.8800, start_time=2025-01-05 11:22:11, end_time=2025-01-05 11:24:18, training_time=127.02s
2025-01-05 11:24:33,251 - INFO - Task 96/180 completed with: n_estimators=30, max_depth=7, min_samples_split=5, min_samples_leaf=4, train_acc=0.9600, val_acc=0.8800, start_time=2025-01-05 11:22:30, end_time=2025-01-05 11:24:33, training_time=122.26s
2025-01-05 11:24:40,901 - INFO - Task 97/180 completed with: n_estimators=30, max_depth=7, min_samples_split=10, min_samples_leaf=1, train_acc=0.9731, val_acc=0.8725, start_time=2025-01-05 11:22:33, end_time=2025-01-05 11:24:40, training_time=127.54s
2025-01-05 11:25:42,858 - INFO - Task 98/180 completed with: n_estimators=30, max_depth=7, min_samples_split=10, min_samples_leaf=4, train_acc=0.9594, val_acc=0.8800, start_time=2025-01-05 11:23:11, end_time=2025-01-05 11:25:42, training_time=150.79s
2025-01-05 11:25:45,336 - INFO - Task 99/180 completed with: n_estimators=30, max_depth=7, min_samples_split=10, min_samples_leaf=2, train_acc=0.9688, val_acc=0.8725, start_time=2025-01-05 11:23:10, end_time=2025-01-05 11:25:45, training_time=155.02s
2025-01-05 11:25:54,376 - INFO - Task 100/180 completed with: n_estimators=40, max_depth=3, min_samples_split=2, min_samples_leaf=1, train_acc=0.7769, val_acc=0.7275, start_time=2025-01-05 11:24:05, end_time=2025-01-05 11:25:54, training_time=109.04s
2025-01-05 11:25:55,356 - INFO - Task 101/180 completed with: n_estimators=30, max_depth=None, min_samples_split=2, min_samples_leaf=4, train_acc=0.9675, val_acc=0.8850, start_time=2025-01-05 11:23:14, end_time=2025-01-05 11:25:55, training_time=160.42s
2025-01-05 11:26:01,712 - INFO - Task 102/180 completed with: n_estimators=30, max_depth=None, min_samples_split=5, min_samples_leaf=4, train_acc=0.9675, val_acc=0.8850, start_time=2025-01-05 11:23:21, end_time=2025-01-05 11:26:01, training_time=159.67s
2025-01-05 11:26:08,696 - INFO - Task 103/180 completed with: n_estimators=30, max_depth=None, min_samples_split=2, min_samples_leaf=2, train_acc=0.9912, val_acc=0.8850, start_time=2025-01-05 11:23:14, end_time=2025-01-05 11:26:08, training_time=173.91s
2025-01-05 11:26:11,202 - INFO - Task 104/180 completed with: n_estimators=40, max_depth=3, min_samples_split=2, min_samples_leaf=2, train_acc=0.7769, val_acc=0.7275, start_time=2025-01-05 11:24:17, end_time=2025-01-05 11:26:10, training_time=113.20s
2025-01-05 11:26:13,650 - INFO - Task 105/180 completed with: n_estimators=40, max_depth=3, min_samples_split=2, min_samples_leaf=4, train_acc=0.7769, val_acc=0.7275, start_time=2025-01-05 11:24:18, end_time=2025-01-05 11:26:13, training_time=114.93s
2025-01-05 11:26:27,494 - INFO - Task 106/180 completed with: n_estimators=30, max_depth=None, min_samples_split=2, min_samples_leaf=1, train_acc=1.0000, val_acc=0.8725, start_time=2025-01-05 11:23:13, end_time=2025-01-05 11:26:27, training_time=193.84s
